cohort,edu,parity_0,parity_1,parity_2,parity_3,parity_4,parity_5,parity_6,parity_7,parity_8p,,,,,,,,,,,,,,,
1964,High,2331,1116,2922,2323,936,209,62,21,20,,,,,,,,,,,,,,,
1965,Low,1082,866,2081,1729,898,398,163,91,77, ,,,,,,,,,,,,,,
1965,Medium,1958,1587,4097,3022,1321,373,134,31,35,,,,,,,,,,,,,,,
1965,High,2385,1152,2982,2406,941,248,72,23,13,,,,,,,,,,,,,,,
1966,Low,1030,822,2086,1500,813,326,163,68,62, ,,,,,,,,,,,,,,
1966,Medium,2016,1598,4108,3057,1242,385,121,40,17,,,,,,,,,,,,,,,
1966,High,2457,1306,3117,2386,968,235,60,19,14,,,,,,,,,,,,,,,
1967,Low,940,817,1996,1496,782,326,157,87,65,,,,,,,,,,,,,,,
1967,Medium,2102,1662,4054,3002,1184,364,104,39,28,,,,,,,,,,,,,,,
1967,High,2605,1415,3155,2426,1006,215,71,26,7,,,,,,,,,,,,,,,
1968,Low,951,811,1934,1489,725,330,141,63,47,,,,,,,,,,,,,,,
1968,Medium,2078,1739,4129,2976,1158,317,130,36,21,,,,,,,,,,,,,,,
1968,High,2700,1470,3339,2534,987,233,45,12,12,,,,,,,,,,,,,,,
1969,Low,954,889,1916,1491,718,357,120,55,62,,,,,,,,,,,,,,,
1969,Medium,2133,1859,4187,2968,1199,334,110,38,17,,,,,,,,,,,,,,,
1969,High,2945,1745,3569,2851,987,209,56,19,9,,,,,,,,,,,,,,,
1970,Low,1046,964,1888,1395,768,317,135,52,49,,,,,,,,,,,,,,,
1970,Medium,2233,1984,4340,2954,1125,275,100,26,13,,,,,,,,,,,,,,,
1970,High,3327,1858,3909,2954,1015,206,50,14,6,,,,,,,,,,,,,,,
